         user_id,Book-Author,Book-Title,Image-URL-M
1,Eric Matthes,Python Crash Course,https://files.realpython.com/media/python-crash-course-cover.56540af24538.jpg
2,Paul Barry,"Head-First Python, 2nd edition",https://files.realpython.com/media/head-first-python-cover.3869ed7d3547.jpg
3,Al Sweigart,"Invent Your Own Computer Games with Python, 4th edition",https://files.realpython.com/media/iyocgwp-cover.4d43d42500a2.jpg
4,Allen B. Downey,"Think Python: How to Think Like a Computer Scientist, 2nd edition",https://files.realpython.com/media/think-python-cover.a6cbd57dbde7.jpg
5,"Anthony Scopatz, Kathryn D. Huff",Effective Computation in Physics: Field Guide to Research with Python,https://files.realpython.com/media/ecip-book-cover.7ce8078aba69.jpg
6,Zed A. Shaw,Learn Python 3 the Hard Way,https://files.realpython.com/media/lp3thw-cover.12d9c32dede7.jpg
7,Jason R. Briggs,Python for Kids: A Playful Introduction to Programming,https://files.realpython.com/media/python-for-kids-cover.6e5bae2b7709.jpg
8,Bryson Payne,Teach Your Kids to Code: A Parent-Friendly Guide to Python Programming,https://files.realpython.com/media/tyctc-cover.4c9e18e01fb0.jpg
9,Dan Bader,Python Tricks: A Buffet of Awesome Python Features,https://files.realpython.com/media/python-tricks-book-cover.5b0f5df06d94.jpg
10,Luciano Ramalho,"Fluent Python: Clear, Concise, and Effective Programming",https://files.realpython.com/media/fluent-python-cover.f504156334d8.jpg
11,Brett Slatkin,Effective Python: 59 Ways to Write Better Python,https://files.realpython.com/media/effective-python-cover.6e060fbfa272.jpg
12,David Beazley & Brian K. Jones,Python Cookbook,https://files.realpython.com/media/python-cookbook-cover.449eb0e173ad.jpg
13,Stanley Lippman,C++ Primer 5th Edition,"https://images-na.ssl-images-amazon.com/images/I/41Gd9xIXrUL._SX381_BO1,204,203,200_.jpg"
14,Kyle Loudon,C++ Pocket Reference 1st Edition,"https://images-na.ssl-images-amazon.com/images/I/4153+jtQOTL._SY344_BO1,204,203,200_.jpg"
15,Siddhartha Rao," C++ in One Hour a Day, Sams Teach Yourself 8th Edition","https://images-na.ssl-images-amazon.com/images/I/41okhLUZZOL._SX258_BO1,204,203,200_.jpg"
16,Jeffrey M. Cogswell,C++ All-in-One For Dummies 3rd Edition,"https://images-na.ssl-images-amazon.com/images/I/51XuWxG6hDL._SX397_BO1,204,203,200_.jpg"
17,Herbert Schildt ,C++: The Complete Reference Fourth Edition,"https://images-na.ssl-images-amazon.com/images/I/51Uqe5PHbML._SX258_BO1,204,203,200_.jpg"
18,Tony Gaddis ,Starting Out with C++ from Control Structures to Objects plus,"https://images-na.ssl-images-amazon.com/images/I/4156KxJLccL._SX405_BO1,204,203,200_.jpg"
19,Stroustrup Bjarne,A Tour of C++ (C++ In-Depth Series) 1st Edition,https://m.media-amazon.com/images/I/51gvHuJ8W0L._SX260_.jpg
20,Scott Meyers,Effective Modern C++,"https://images-na.ssl-images-amazon.com/images/I/51qUGMia07L._SX379_BO1,204,203,200_.jpg"
21,Nicolai Josuttis,"C++ Standard Library, The: A Tutorial And Reference 2Nd Edition","https://images-na.ssl-images-amazon.com/images/I/5108SrrM+qL._SX406_BO1,204,203,200_.jpg"
22,Mike Hendrickson,Accelerated C++: Practical Programming by Example 1st Edition,"https://images-na.ssl-images-amazon.com/images/I/519suIPxd5L._SX258_BO1,204,203,200_.jpg"
23,Scott Meyers,More Effective C++,https://m.media-amazon.com/images/I/51-oc3ApHxL._SY346_.jpg
24,Robert Lafore,Object-Oriented Programming In C++ 4th Edition,"https://images-na.ssl-images-amazon.com/images/I/41lUVTg+ChL._SX357_BO1,204,203,200_.jpg"
25,D. S. Malik,C++ Programming: From Problem Analysis to Program Design 3rd Edition,"https://images-na.ssl-images-amazon.com/images/I/213EJ-USRIL._BO1,204,203,200_.jpg"
26,Nathan Clark ,C++: A Detailed Approach to Practical Coding,https://m.media-amazon.com/images/I/41sz2q4VlKL._SY346_.jpg
27,Jacek Galowicz ,C++17 STL Cookbook,https://m.media-amazon.com/images/I/51HGIc-EJqL._SX260_.jpg
28,Hadley Wickham,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","https://images-na.ssl-images-amazon.com/images/I/512BRANyRxS._SX331_BO1,204,203,200_.jpg"
29,Tilman M. Davies,The Book of R: A First Course in Programming and Statistics,"https://images-na.ssl-images-amazon.com/images/I/51XOP1zda3L._SX376_BO1,204,203,200_.jpg"
30,Andrie de Vries,R For Dummies,"https://images-na.ssl-images-amazon.com/images/I/51ERP9jmjJL._SX258_BO1,204,203,200_.jpg"
31,Andy Field,Discovering Statistics Using R,"https://images-na.ssl-images-amazon.com/images/I/31GY6WuNwvL._SX365_BO1,204,203,200_.jpg"
32,Norman Matloff,The Art of R Programming: A Tour of Statistical Software Design,"https://images-na.ssl-images-amazon.com/images/I/51MDIFRdpNL._SX258_BO1,204,203,200_.jpg"
33,Jared P. Lander, R for Everyone: Advanced Analytics and Graphics,"https://images-na.ssl-images-amazon.com/images/I/41NxNchrvBL._SX258_BO1,204,203,200_.jpg"
34,Brett Lantz,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition","https://images-na.ssl-images-amazon.com/images/I/51f4sFFMx3L._SX404_BO1,204,203,200_.jpg"
