,0
1," C++ in One Hour a Day, Sams Teach Yourself 8th Edition"
2,Learning MySQL
3,C++: The Complete Reference Fourth Edition
4,CSS Visual Dictionary
5,Thinking in Java 
6, Learning SQL: Master SQL Fundamentals
7, Effective Java 
8,HTML5 and CSS3 All-in-One For Dummies
9,Seven Databases in Seven Weeks
10,SQL Practice Problems
11,Murach C# 2015
12,Beginning Database Design Solutions
13,PHP and MySQL for Dynamic Web Sites
14,C# 7 in a Nutshell: The Definitive Reference
15, A Smarter Way to Learn HTML & CSS: Learn it faster
16,SQL For Dummies (For Dummies (Computer/Tech))
17,JavaScript: The Good Parts
18, HTML and CSS Design and Build Websites
19,Effective SQL: 61 Specific Ways to Write Better SQL
20,Learn SQL With MySQL
21,SQL Practice Problems
22, HTML and CSS: Visual QuickStart Guide
23, SQL Database Programming
24,Python Tricks
25,A Tour of C++ (C++ In-Depth Series) 1st Edition
26," C++ in One Hour a Day, Sams Teach Yourself 8th Edition"
27,Accelerated C++: Practical Programming by Example 1st Edition
28, Effective Java 
29,Hands-On Programming with R
30,Text Mining with R: A Tidy Approach
31,"Aerial Photography, Photogeology, GIS, And Image Processing"
32,C++ All-in-One For Dummies 3rd Edition
33,C# 9 and NET 5  Modern Cross-Platform Development
34,HTML 5 Black Book 
35," SQL in 10 Minutes, Sams Teach Yourself"
36,Pro C# 7: With NET and NET Core
37,Learning R
38,High-Performance MySQL
39,Accelerated C++: Practical Programming by Example 1st Edition
40,C++17 STL Cookbook
41, HTML and CSS Design and Build Websites
42," HTML, CSS, and JavaScript All in One"
43,A Tour of C++ (C++ In-Depth Series) 1st Edition
44,C++ Primer 5th Edition
45,C# 9 and NET 5  Modern Cross-Platform Development
46,CSS Visual Dictionary
47,C# 9 and NET 5  Modern Cross-Platform Development
48,SQL Cookbook 
49, A Smarter Way to Learn JavaScript
50, A Smarter Way to Learn JavaScript
51, SQL Database Programming
52,Learn SQL With MySQL
53,Test-Driven Java Development
54, A Smarter Way to Learn JavaScript
55,Numerical Computing with MATLAB
56,C# 9 and NET 5  Modern Cross-Platform Development
57,Concurrency in C# Cookbook
58,The Joy of PHP
59,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data"
60, SQL Database Programming
61,Head First HTML and CSS
62,Head-First Python 2nd edition
63,Deep Learning with Python and OpenCV
64,HTML and CSS Quickstart Guide
65," HTML, CSS, and JavaScript All in One"
66,HTML and CSS: Visual Quickstart Guide
67,Hands-On Programming with R
68,C++ Pocket Reference 1st Edition
69, A Smarter Way to Learn JavaScript
70,"Aerial Photography, Photogeology, GIS, And Image Processing"
71,MySQL
72, You Dont Know JS
73,Modern PHP: New Features and Good Practices
74,C++ Pocket Reference 1st Edition
75,"Learn HTML, CSS & JavaScript"
76,Responsive Web Design with HTML5 and CSS
77,Optical and SAR Remote Sensing of Urban Areas
78,Test-Driven Java Development
79,C++ All-in-One For Dummies 3rd Edition
80,Effective Python
81, A Smarter Way to Learn JavaScript
82,Java Clean Code 
83,HTML 5 Black Book 
84,Concurrency in C# Cookbook
85,The Art of R Programming: A Tour of Statistical Software Design
86,Head First HTML and CSS
87,Murach C# 2015
88,"Optimizing Visual Studio Code for Python Development
Developing More Efficient and Effective Programs in Python"
89, R for Everyone: Advanced Analytics and Graphics
90,C# 9 and NET 5  Modern Cross-Platform Development
91,Responsive Web Design with HTML5 and CSS
92,C# in Depth
93," C++ in One Hour a Day, Sams Teach Yourself 8th Edition"
94,C++17 STL Cookbook
95,JavaScript: The Good Parts
96, Effective Java 
97,Head First HTML and CSS
98,MongoDB: The Definitive Guide
99,Medical Imaging Systems
100,Learn WinUI 3
101,C# 9 and NET 5  Modern Cross-Platform Development
102,Learning C# by Developing Games with Unity 2019
103,CSS Visual Dictionary
104,Learn Python 3 the Hard Way
105,Learning Web Design
106,CSS Visual Dictionary
107,Optical and SAR Remote Sensing of Urban Areas
108,Learn Python 3 the Hard Way
109,PHP The Complete Reference
110, HTML and CSS Design and Build Websites
111,Discovering Statistics Using R
112,Learn WinUI 3
113," SQL in 10 Minutes, Sams Teach Yourself"
114,High-Performance MySQL
115, Effective Java 
116,PHP for the Web: Visual QuickStart Guide
117,Software for Data Analysis: Programming with R
118,C++17 STL Cookbook
119, SQL Database Programming
120,Java Clean Code 
121,C# 9 and NET 5  Modern Cross-Platform Development
122,Head First C#
123,Oracle PL/SQL Programming 6e
124,Murach C# 2015
125," SQL in 10 Minutes, Sams Teach Yourself"
126,Deep Learning with Python and OpenCV
127,More Effective C++
128,Test Driven TDD and Acceptance TDD for Java Developers 
129,Oracle PLSQL Programming
130,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition"
131,HTML5 and CSS3 All-in-One For Dummies
132,Learn Python 3 the Hard Way
133,Oracle PL/SQL Programming 6e
134,Python Tricks
135,Medical Imaging Systems
136,Head First C#
137, PHP and MySQL Web Development
138,High-Performance MySQL
139,Learn SQL With MySQL
140, Effective Java 
141,HTML5 and CSS3 All-in-One For Dummies
142,Python Cookbook
143,SQL Cookbook 
144,"Optimizing Visual Studio Code for Python Development
Developing More Efficient and Effective Programs in Python"
145, A Smarter Way to Learn HTML & CSS: Learn it faster
146,Advanced R (Chapman & Hall CRC The R Series)
147,Ullman PHP Advanced and Object-Oriented Programming: Visual QuickPro Guide
148,C++: The Complete Reference Fourth Edition
149,Test-Driven Java Development
150,PHP and MySQL for Dynamic Web Sites
151,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition"
152, A Smarter Way to Learn JavaScript
153, A Smarter Way to Learn HTML & CSS: Learn it faster
154,HTML and CSS: Design and Build Websites
155,"Lessons from the Masters
Current Concepts in Astronomical Image Processing"
156,Making Sense of NoSQL
157,C++17 STL Cookbook
158,Secrets of the JavaScript Ninja
159,Learn WinUI 3
160,C++ Programming: From Problem Analysis to Program Design 3rd Edition
161,Hands-On Programming with R
162,Digital Image Processing MCQs
163,Learning R
164,Advanced R (Chapman & Hall CRC The R Series)
165,"Learn HTML, CSS & JavaScript"
166,SQL Practice Problems
167,C++: A Detailed Approach to Practical Coding
168,A Tour of C++ (C++ In-Depth Series) 1st Edition
169,MongoDB: The Definitive Guide
170, SQL Database Programming
171,Secrets of the JavaScript Ninja
172, You Dont Know JS
173,C# 9 and NET 5  Modern Cross-Platform Development
174,Hands-On Programming with R
175,Murachs PHP and MySQL (Murach: Training & Reference)
176,Core Java
177,Head-First Python 2nd edition
178,HTML and CSS: Design and Build Websites
179,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition"
180,Learning Web Design
181,Learn SQL With MySQL
182,MySQL
183, Effective Java 
184,Pro C# 7: With NET and NET Core
185, You Dont Know JS
186,MySQL MADE EASY
187,Introductory Digital Image Processing
188,A Tour of C++ (C++ In-Depth Series) 1st Edition
189,HTML5 and CSS3 All-in-One For Dummies
190,Professional Chash and NET
191," HTML, CSS, and JavaScript All in One"
192,C# 8 and NET Core 3
193,OpenCV 2 Computer Vision Application Programming Cookbook
194," HTML, CSS, and JavaScript All in One"
195, A Smarter Way to Learn JavaScript
196, SQL Database Programming
197,SQL Practice Problems
198,Seven Databases in Seven Weeks
199,Handbook of Image Processing Operators
200,Learn Python 3 the Hard Way
201,Test-Driven Java Development
202,Test Driven TDD and Acceptance TDD for Java Developers 
203,Learn SQL With MySQL
204,Learning C# by Developing Games with Unity 2019
