,title,rating,author,genre
0,MySQL,36,S.E. Hinton,SQL
6,MySQL,36,Michael Crichton,SQL
7,MySQL,36,shubham tiwari,SQL
18, SQL Database Programming,36,Chris Fehily,SQL
24,High-Performance MySQL,36,Baron Schwartz,SQL
25,High-Performance MySQL,36,William Goldman,SQL
36,Learn SQL With MySQL,30,John Grisham,SQL
42,SQL Practice Problems,24,Sylvia Moestl Vasilik,SQL
48," SQL in 10 Minutes, Sams Teach Yourself",18,Ben Forta,SQL
54,Seven Databases in Seven Weeks,12,"Luc Perkins, Eric Redmond, Jim Wilson",SQL
60,MongoDB: The Definitive Guide,12,"Shannon Bradshaw, Eoin Brazil, Kristina Chodorow",SQL
66,SQL Cookbook ,12,Anthony Molinaro,SQL
72,PHP and MySQL for Dynamic Web Sites,12,Ullman,SQL
